"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2023","142.48","142.67","143.63","142.47","2.74M","-4.96%"
"11/20/2023","149.91","150.00","150.75","146.22","435.64K","0.19%"
"11/17/2023","149.62","149.50","150.00","148.00","502.99K","-0.02%"
"11/16/2023","149.65","149.50","150.55","149.00","347.98K","0.29%"
"11/15/2023","149.21","149.87","153.56","148.08","1.30M","0.41%"
"11/14/2023","148.60","150.00","150.50","148.36","285.24K","-0.42%"
"11/13/2023","149.23","151.00","151.00","148.12","273.58K","-0.29%"
"11/10/2023","149.66","149.60","151.64","149.20","239.11K","0.38%"
"11/09/2023","149.10","147.88","149.28","147.67","239.70K","0.37%"
"11/08/2023","148.55","149.76","149.80","147.87","247.06K","-0.15%"
"11/07/2023","148.77","150.68","151.45","147.36","404.06K","-0.57%"
"11/06/2023","149.62","147.00","150.11","146.41","407.77K","1.93%"
"11/03/2023","146.79","145.00","147.75","144.60","548.66K","1.40%"
"11/02/2023","144.76","148.21","148.21","144.60","432.34K","-0.94%"
"11/01/2023","146.14","145.72","146.14","143.74","635.34K","0.34%"
"10/31/2023","145.65","144.40","145.93","143.20","562.78K","-0.66%"
"10/30/2023","146.62","138.25","146.62","138.00","1.70M","3.11%"
"10/27/2023","142.20","146.03","146.32","141.99","3.38M","-2.92%"
"10/26/2023","146.47","149.22","149.22","145.47","361.26K","-1.21%"
"10/25/2023","148.26","149.87","149.87","146.14","423.58K","-1.61%"
"10/24/2023","150.69","152.95","154.22","148.07","641.10K","-3.32%"
"10/23/2023","155.87","148.01","157.10","146.60","5.69M","3.29%"
"10/20/2023","150.91","151.51","152.01","147.84","6.24M","0.40%"
"10/19/2023","150.31","159.00","159.00","145.00","9.24M","-9.59%"
"10/18/2023","166.25","165.75","167.96","163.25","6.83M","0.70%"
"10/17/2023","165.10","157.62","169.21","157.17","10.61M","-7.70%"
"10/16/2023","178.88","178.40","180.61","177.82","1.89M","0.63%"
"10/13/2023","177.76","178.85","181.14","176.45","3.42M","-0.53%"
"10/12/2023","178.71","172.42","180.37","172.10","5.70M","4.22%"
"10/11/2023","171.48","170.00","171.81","169.46","1.92M","0.99%"
"10/10/2023","169.80","169.10","171.60","169.10","2.00M","0.41%"
"10/09/2023","169.10","167.04","169.56","167.04","805.27K","0.82%"
"10/06/2023","167.73","165.38","168.47","165.01","1.47M","1.25%"
"10/05/2023","165.66","165.90","166.77","165.09","2.22M","-0.25%"
"10/04/2023","166.07","164.96","166.08","164.16","1.23M","1.03%"
"10/03/2023","164.38","165.83","166.50","164.00","1.18M","-1.19%"
"10/02/2023","166.36","166.40","167.32","165.19","1.24M","-0.07%"
"09/29/2023","166.48","167.89","168.88","166.22","1.23M","-0.30%"
"09/28/2023","166.98","164.80","167.77","164.75","920.85K","1.18%"
"09/27/2023","165.03","165.75","166.66","163.66","1.39M","0.05%"
"09/26/2023","164.94","165.81","167.02","164.76","1.36M","-1.09%"
"09/25/2023","166.76","166.54","168.11","166.06","837.16K","-0.28%"
"09/22/2023","167.23","163.98","167.91","163.62","2.10M","2.59%"
"09/21/2023","163.01","161.57","165.12","160.80","1.85M","-1.63%"
"09/20/2023","165.71","167.31","168.18","165.44","1.83M","-0.40%"
"09/19/2023","166.37","166.13","166.92","165.41","2.01M","0.13%"
"09/18/2023","166.15","166.11","167.33","165.89","1.30M","-0.49%"
"09/15/2023","166.96","167.27","167.68","165.48","2.42M","-0.74%"
"09/14/2023","168.20","166.32","169.00","165.58","1.42M","1.65%"
"09/13/2023","165.47","164.80","166.19","163.42","1.51M","0.68%"
"09/12/2023","164.35","164.48","165.91","164.10","2.04M","-0.70%"
"09/11/2023","165.51","166.86","166.86","164.54","1.55M","-0.29%"
"09/08/2023","165.99","164.36","166.07","164.00","1.30M","0.89%"
"09/07/2023","164.52","164.50","164.99","162.79","1.57M","-0.99%"
"09/06/2023","166.16","162.90","167.84","162.90","2.41M","1.37%"
"09/05/2023","163.91","161.84","164.95","161.84","2.69M","-0.12%"
"09/01/2023","164.10","165.37","167.23","163.35","2.73M","-2.77%"
"08/31/2023","168.78","166.50","170.19","166.00","3.59M","1.25%"
"08/30/2023","166.69","167.38","167.99","165.73","1.66M","-0.48%"
"08/29/2023","167.49","163.23","167.75","163.23","1.88M","2.01%"
"08/28/2023","164.19","162.63","164.63","161.93","1.69M","1.01%"
"08/25/2023","162.55","161.88","163.33","159.73","2.20M","0.34%"
"08/24/2023","162.00","165.93","167.76","161.90","2.10M","-1.21%"
"08/23/2023","163.99","161.27","164.68","161.21","2.19M","1.23%"
"08/22/2023","162.00","163.00","163.72","161.98","1.80M","-0.30%"
"08/21/2023","162.48","160.60","163.65","160.32","4.35M","4.91%"
"08/18/2023","154.87","154.88","155.74","153.60","1.24M","-0.37%"
"08/17/2023","155.45","155.57","156.42","154.91","842.62K","-0.21%"
"08/16/2023","155.78","156.05","156.91","155.50","927.11K","-0.16%"
"08/15/2023","156.03","156.00","156.91","155.17","830.46K","-0.27%"
"08/14/2023","156.45","155.80","157.70","155.00","824.07K","0.77%"
"08/11/2023","155.26","156.45","156.45","154.44","578.15K","-0.75%"
"08/10/2023","156.44","157.60","157.80","155.85","760.50K","-0.03%"
"08/09/2023","156.48","158.04","158.90","155.82","730.70K","-1.20%"
"08/08/2023","158.38","158.28","159.00","157.08","908.05K","-0.53%"
"08/07/2023","159.23","158.12","159.78","158.07","869.15K","0.62%"
"08/04/2023","158.25","159.20","159.74","157.16","1.09M","-0.13%"
"08/03/2023","158.45","157.80","161.09","156.91","1.54M","0.36%"
"08/02/2023","157.88","157.71","158.67","157.03","1.02M","-0.68%"
"08/01/2023","158.96","157.68","159.93","157.00","1.21M","0.84%"
"07/31/2023","157.63","157.35","158.76","156.88","757.59K","-0.01%"
"07/28/2023","157.65","158.50","159.70","157.59","1.23M","-0.31%"
"07/27/2023","158.14","160.58","160.90","157.76","658.31K","-0.42%"
"07/26/2023","158.80","162.55","163.03","157.79","1.78M","-1.64%"
"07/25/2023","161.45","160.10","162.79","159.95","711.30K","0.64%"
"07/24/2023","160.43","160.39","161.28","159.63","937.50K","0.03%"
"07/21/2023","160.38","164.78","165.21","159.58","2.76M","-2.07%"
"07/20/2023","163.77","164.90","166.11","163.61","1.61M","-1.75%"
"07/19/2023","166.69","168.62","170.00","165.44","4.69M","5.18%"
"07/18/2023","158.48","157.81","159.32","156.90","926.06K","-0.46%"
"07/17/2023","159.22","155.90","160.43","155.90","1.35M","1.91%"
"07/14/2023","156.23","156.59","158.47","155.47","1.14M","-0.60%"
"07/13/2023","157.17","156.30","158.55","155.61","1.99M","0.92%"
"07/12/2023","155.74","154.37","156.13","152.50","2.51M","2.78%"
"07/11/2023","151.53","144.50","156.23","143.98","4.63M","5.19%"
"07/10/2023","144.06","141.54","144.28","141.54","930.84K","1.88%"
"07/07/2023","141.40","141.74","142.78","141.26","605.37K","-0.46%"
"07/06/2023","142.06","142.54","143.00","141.25","927.77K","-1.16%"
"07/05/2023","143.72","143.05","144.45","142.85","820.53K","-0.22%"
"07/03/2023","144.04","142.88","144.98","142.77","721.98K","0.24%"
"06/30/2023","143.69","144.03","145.73","143.43","1.77M","-0.16%"
"06/29/2023","143.92","141.15","144.01","140.69","1.21M","2.30%"
"06/28/2023","140.69","140.12","142.65","139.55","1.24M","-0.21%"
"06/27/2023","140.98","137.82","141.22","137.56","1.78M","2.29%"
"06/26/2023","137.82","137.87","139.72","137.37","519.60K","-0.01%"
"06/23/2023","137.83","136.31","138.53","135.68","2.20M","0.44%"
"06/22/2023","137.23","137.66","138.38","137.05","884.35K","-0.38%"
"06/21/2023","137.75","140.62","141.25","137.09","1.75M","-2.50%"
"06/20/2023","141.28","140.00","143.18","139.76","1.32M","-0.06%"
"06/16/2023","141.36","142.85","143.90","140.35","3.01M","-0.72%"
"06/15/2023","142.38","139.85","142.50","139.56","1.48M","1.10%"
"06/14/2023","140.83","140.21","141.95","139.22","1.37M","0.09%"
"06/13/2023","140.70","140.93","142.33","140.13","1.58M","-0.11%"
"06/12/2023","140.85","136.20","140.99","136.13","1.98M","4.04%"
"06/09/2023","135.38","133.00","136.07","133.00","797.91K","1.67%"
"06/08/2023","133.15","132.09","133.78","131.29","682.55K","0.63%"
"06/07/2023","132.31","132.01","133.86","131.04","1.25M","0.04%"
"06/06/2023","132.26","133.50","133.97","131.25","1.93M","-1.60%"
"06/05/2023","134.41","136.57","136.83","134.18","1.01M","-2.54%"
"06/02/2023","137.91","132.00","138.00","131.50","1.93M","2.96%"
"06/01/2023","133.94","135.27","135.52","133.22","2.08M","-1.72%"
"05/31/2023","136.29","132.70","137.01","132.61","10.71M","1.86%"
"05/30/2023","133.80","134.12","137.56","133.59","4.38M","0.42%"
"05/26/2023","133.24","128.35","134.00","128.02","2.87M","4.21%"
"05/25/2023","127.86","125.09","128.12","125.06","1.40M","3.07%"
"05/24/2023","124.05","123.68","124.53","123.07","957.99K","-0.31%"
"05/23/2023","124.43","125.32","126.56","124.42","1.57M","-0.23%"
"05/22/2023","124.72","125.54","126.01","123.83","932.55K","-0.81%"
"05/19/2023","125.74","125.50","126.36","125.27","803.87K","0.26%"
"05/18/2023","125.41","125.25","125.64","123.92","1.14M","0.29%"
"05/17/2023","125.05","123.52","125.27","123.52","813.09K","1.44%"
"05/16/2023","123.27","123.82","124.09","122.92","709.43K","-0.72%"
"05/15/2023","124.17","123.04","124.44","123.04","602.63K","0.59%"
"05/12/2023","123.44","123.12","123.46","122.31","632.50K","0.31%"
"05/11/2023","123.06","123.14","123.50","122.31","438.45K","-0.02%"
"05/10/2023","123.09","122.83","123.60","122.00","544.46K","1.04%"
"05/09/2023","121.82","122.77","122.91","121.81","956.94K","-0.77%"
"05/08/2023","122.76","123.55","124.12","122.56","1.10M","-1.10%"
"05/05/2023","124.12","122.81","124.50","122.39","1.30M","1.90%"
"05/04/2023","121.81","123.25","123.70","121.78","936.29K","-1.36%"
"05/03/2023","123.49","123.53","124.69","122.91","877.80K","-0.31%"
"05/02/2023","123.88","126.22","126.49","122.89","1.16M","-2.44%"
"05/01/2023","126.98","124.60","127.35","124.60","1.49M","1.56%"
"04/28/2023","125.03","124.43","125.43","123.45","826.86K","0.50%"
"04/27/2023","124.41","123.38","124.64","121.88","789.01K","0.83%"
"04/26/2023","123.38","123.43","124.54","122.50","2.09M","-2.18%"
"04/25/2023","126.13","126.14","126.88","125.51","1.47M","-0.09%"
"04/24/2023","126.24","125.53","126.80","125.06","1.43M","0.10%"
"04/21/2023","126.12","128.57","128.94","125.65","1.67M","-1.66%"
"04/20/2023","128.25","127.27","129.15","127.02","1.22M","0.24%"
